Date,Close/Last,Volume,Open,High,Low
09/13/2024,23.85,46077,24.05,24.05,23.81
09/12/2024,23.93,28178,23.95,23.95,23.82
09/11/2024,23.94,47674,24.10,24.10,23.89
09/10/2024,23.88,429963,24.04,24.07,23.88
09/09/2024,23.944,10624,23.832,23.96,23.832
09/06/2024,23.77,65248,23.95,23.95,23.77
09/05/2024,23.82,10016,23.69,23.8399,23.69
09/04/2024,23.74,49158,23.80,23.86,23.6411
09/03/2024,23.78,12682,23.74,23.79,23.63
08/30/2024,23.81,22443,23.94,23.94,23.69
08/29/2024,23.75,11399,23.70,23.815,23.65
08/28/2024,23.62,41398,23.67,23.7698,23.62
08/27/2024,23.7039,7858,23.60,23.72,23.60
08/26/2024,23.87,32985,23.71,23.9632,23.71
08/23/2024,23.92,58713,23.94,23.94,23.81
08/22/2024,23.9333,9723,23.77,23.96,23.77
08/21/2024,23.80,63828,24.08,24.08,23.80
08/20/2024,23.90,51488,23.97,23.97,23.77
08/19/2024,23.83,57960,23.97,23.97,23.74
08/16/2024,23.774,393026,23.7399,23.82,23.71
08/15/2024,23.7426,34768,23.98,23.98,23.63
08/14/2024,23.8075,17157,24.06,24.06,23.71
08/13/2024,23.73,17375,23.86,23.86,23.645
08/12/2024,23.68,25668,23.63,23.68,23.56
08/09/2024,23.62,15153,23.50,23.62,23.47
08/08/2024,23.55,6402,23.518,23.57,23.3901
08/07/2024,23.53,12977,23.55,23.55,23.38
08/06/2024,23.45,25212,23.94,23.94,23.45
08/05/2024,23.70,27534,23.30,24.05,23.30
08/02/2024,23.51,87572,23.53,23.57,23.44
08/01/2024,23.41,4186,23.32,23.41,23.31
07/31/2024,23.19,14693,23.275,23.33,23.19
07/30/2024,23.30,11732,23.35,23.35,23.18
07/29/2024,23.17,760936,23.29,23.29,23.17
07/26/2024,23.2091,17463,23.1864,23.27,23.18
07/25/2024,23.44,15243,23.50,23.51,23.42
07/24/2024,23.37,6780,23.46,23.4826,23.37
07/23/2024,23.40,18853,23.42,23.51,23.40
07/22/2024,23.38,40458,23.45,23.45,23.35
07/19/2024,23.24,5321,23.27,23.34,23.24
07/18/2024,23.19,36321,23.241,23.32,23.19
07/17/2024,23.33,33331,23.19,23.33,23.19
07/16/2024,23.22,11688,23.32,23.32,23.22
07/15/2024,23.36,5362,23.327,23.36,23.19
07/12/2024,23.17,26071,23.46,23.46,23.17
07/11/2024,23.13,8494,23.24,23.28,23.13
07/10/2024,23.24,10705,21.34,23.24,21.34
07/09/2024,23.21,13995,23.20,23.21,23.13
07/08/2024,23.25,3572,23.20,23.25,23.16
07/05/2024,23.2247,25831,23.1541,23.27,23.1541
07/03/2024,23.105,8441,23.06,23.14,23.04
07/02/2024,23.12,29619,22.82,23.12,22.82
07/01/2024,23.04,9875,22.99,23.04,22.96
06/28/2024,22.9655,60455,23.11,23.11,22.9655
